Residence_city,Socioeconomic_level,Civil_status,Age,State,Province,Vulnerable_group,Desired_program,Family_income,Father_level,Mother_level,STEM_subjects,H_subjects,Dropout
LOCAL,2,Single,25,LOCAL,LOCAL,2,INFORMATIC ENGINEERING,0,TECHNICAL,TECHNICAL,51.2,39.6,NO
LOCAL,2,Single,25,LOCAL,LOCAL,2,UNSPECIFIED,500000,PRIMARY SCHOOL,PRIMARY SCHOOL,54.8,48.3,YES
LOCAL,4,Single,25,LOCAL,LOCAL,2,UNSPECIFIED,2400000,UNDERGRADUATE,UNDERGRADUATE,52.1,38.6,NO
LOCAL,3,Single,24,LOCAL,LOCAL,2,UNSPECIFIED,2500000,TECHNOLOGIST,UNDERGRADUATE,44.5,49.8,YES
LOCAL,3,Single,24,LOCAL,LOCAL,2,UNSPECIFIED,1000000,PRIMARY SCHOOL,PRIMARY SCHOOL,45.8,36,YES
LOCAL,2,Single,24,LOCAL,LOCAL,2,UNSPECIFIED,300000,HIGH SCHOOL,HIGH SCHOOL,47,43.3,YES
LOCAL,3,Single,23,LOCAL,LOCAL,2,UNSPECIFIED,2500000,HIGH SCHOOL,UNDERGRADUATE,58.5,47.3,NO
LOCAL,2,Single,23,LOCAL,LOCAL,2,UNSPECIFIED,500000,HIGH SCHOOL,PRIMARY SCHOOL,38.5,40.3,YES
LOCAL,1,Single,23,LOCAL,LOCAL,2,UNSPECIFIED,750000,TECHNICAL,TECHNOLOGIST,51.8,49.3,YES
LOCAL,1,Single,23,LOCAL,LOCAL,2,UNSPECIFIED,644000,PRIMARY SCHOOL,PRIMARY SCHOOL,45.3,43.3,NO
LOCAL,2,Single,23,LOCAL,LOCAL,-1,UNSPECIFIED,1500000,HIGH SCHOOL,UNDERGRADUATE,55,49.3,NO
LOCAL,3,Single,23,LOCAL,LOCAL,2,UNSPECIFIED,2270000,UNDERGRADUATE,HIGH SCHOOL,51.8,50.3,NO
LOCAL,1,Single,23,LOCAL,NEIGHBOR,2,UNSPECIFIED,1200000,HIGH SCHOOL,TECHNOLOGIST,45,34.5,YES
LOCAL,3,Single,23,LOCAL,LOCAL,2,UNSPECIFIED,2000000,UNDERGRADUATE,UNDERGRADUATE,49.8,35.3,NO
